DIN,Director_Name,CIN,Company_Name,Designation,Date_of_Appointment,Date_of_Cessation,Nationality,Gender,Synthetic_Ring_ID
8630601,Sanjay Desai,U68100WB2013PTC100440,Capital Industries Private Limited,Whole-time Director,13/03/2013,,Indian,Male,
8798120,Nitin Yadav,U68100PB2015PTC100253,Falcon Commodities Private Limited,Director,31/07/2015,,Indian,Male,
9900508,Harish Sharma,U46900TG2016PTC100898,Prime Commodities Private Limited,Director,04/02/2016,,Indian,Male,
8505677,Ramesh Tiwari,U74999TG2018PTC100077,Nova Agro Private Limited,Director,04/11/2018,,Indian,Male,RING-12
9598562,Ramesh Chauhan,U47190UP2021PTC100126,Shree Overseas Private Limited,Managing Director,06/07/2021,,Indian,Male,
9250238,Amit Rao,U82990GJ2006PTC100581,Rudra Realty Private Limited,Additional Director,10/03/2006,,Indian,Male,
9522254,Naresh Rao,U62011TG2017PTC100197,Global Ventures Private Limited,Managing Director,21/05/2017,,Indian,Male,
8064719,Meena Goyal,U64990GJ2007PTC100464,Krishna Technologies Private Limited,Director,05/07/2007,,Indian,Female,
8257189,Anil Arora,U82990RJ2023PTC100086,Capital Enterprises Private Limited,Managing Director,09/08/2023,,Indian,Male,RING-13
8248410,Dinesh Chopra,U70200MH2018PTC100041,Apex Foods Private Limited,Director,19/01/2019,,Indian,Male,RING-06
9819436,Bharat Patel,U64990MH2006PTC100869,Everest Retail Private Limited,Independent Director,26/05/2006,,Indian,Male,
9201222,Dinesh Desai,U46310MH2015PTC100549,Om Exports Private Limited,Additional Director,22/03/2015,,Indian,Male,
9214042,Mukesh Rao,U10610TN2019PTC100172,Radiant Constructions Private Limited,Director,04/07/2019,,Indian,Male,
9664583,Payal Reddy,U41001UP2024PTC100024,Pioneer Chemicals Private Limited,Managing Director,28/07/2024,,Indian,Female,RING-04
8462089,Rajesh Malhotra,U10610RJ2007PLC100503,Shakti Trading Limited,Additional Director,23/01/2007,,Indian,Male,
9261364,Suresh Mishra,U74999UP2014PTC100318,Orion Infra Private Limited,Independent Director,17/08/2014,,Indian,Male,
9772680,Mukesh Agarwal,U46900TN2022PTC100245,Vishal Consultancy Private Limited,Director,03/10/2022,,Indian,Male,
9764205,Mahesh Chauhan,U62011HR2018PTC100626,Orion Merchants Private Limited,Additional Director,30/12/2018,,Indian,Male,
9090307,Vivek Patel,U52290TG2022PLC100678,Zenith Distributors Limited,Director,05/06/2022,,Indian,Male,
8048786,Rakesh Bhatia,U46900UP2010PTC100525,Capital Developers Private Limited,Director,11/04/2010,,Indian,Male,
8064719,Meena Goyal,U82990MH2009PTC100831,Vantage Foods Private Limited,Nominee Director,18/11/2009,,Indian,Female,
9969900,Bharat Gupta,U47190WB2018PTC100311,Elite Technologies Private Limited,Whole-time Director,14/03/2018,,Indian,Male,
9609158,Vijay Arora,U46900KA2007PTC100663,Orion Chemicals Private Limited,Director,24/04/2007,,Indian,Male,
8681775,Rakesh Kapoor,U52290WB2013PTC100774,Zenith Trading Private Limited,Director,01/09/2013,,Indian,Male,
8079453,Vijay Nair,U63990MH2019PTC100168,Vishwa Industries Private Limited,Whole-time Director,13/03/2019,,Indian,Male,
8064719,Meena Goyal,U10610TN2024PTC100724,Vikram Textiles Private Limited,Independent Director,02/11/2024,,Indian,Female,
8628535,Priya Mehta,U52290PB2026PTC100323,Shree Realty Private Limited,Director,09/04/2026,,Indian,Female,
9164105,Pradeep Singh,U46310HR2018PTC100599,Anmol Technologies Private Limited,Independent Director,28/12/2018,,Indian,Male,
9084222,Anil Kapoor,U45201WB2012PTC100499,Everest Merchants Private Limited,Director,29/06/2012,,Indian,Male,
8853968,Jyoti Agarwal,U46900HR2011PTC100880,Bharat Services Private Limited,Director,22/10/2011,,Indian,Female,
9156005,Priya Bhatia,U68100UP2010PTC100454,Vardhan Industries Private Limited,Director,01/02/2010,,Indian,Female,
9141632,Ramesh Joshi,U46900TN2007PTC100580,Universal Services Private Limited,Director,31/10/2007,,Indian,Male,
9640866,Bharat Sharma,U63990RJ2017PTC100386,Platinum Logistics Private Limited,Director,29/10/2017,,Indian,Male,
9486335,Kunal Verma,U41001MH2021PTC100096,Lakshmi Merchants Private Limited,Whole-time Director,12/10/2021,,Indian,Male,RING-14
9456385,Vijay Shah,U10610HR2023PTC100689,Skyline Exports Private Limited,Additional Director,19/09/2023,,Indian,Male,
8488795,Sanjay Desai,U68100MH2024PTC100474,Apex Developers Private Limited,Director,08/09/2024,,Indian,Male,
9265104,Naresh Nair,U74999RJ2015PLC100425,Metro Overseas Limited,Director,06/06/2015,,Indian,Male,
9032274,Rakesh Dubey,U46310WB2025PTC100199,Trident Ventures Private Limited,Whole-time Director,13/04/2025,,Indian,Male,
9626747,Manish Arora,U10610MH2019PTC100040,Apex Commodities Private Limited,Director,29/01/2019,,Indian,Male,RING-06
9053458,Rajesh Bansal,U70200TN2009PLC100950,Pioneer Industries Limited,Managing Director,04/01/2010,,Indian,Male,
8691411,Vishal Goyal,U52290RJ2021PTC100071,Elite Enterprises Private Limited,Director,08/11/2021,,Indian,Male,RING-11
8370846,Deepa Malhotra,U10610TG2018PLC100818,Golden Traders Limited,Additional Director,13/11/2018,,Indian,Female,
9969900,Bharat Gupta,U10610TN2019PTC100776,Vishal Industries Private Limited,Director,24/01/2020,,Indian,Male,
8497837,Girish Agarwal,U14101MH2016PTC100292,Prime Agro Private Limited,Managing Director,16/08/2016,,Indian,Male,
9565466,Praveen Bansal,U14101UP2012PTC100561,Krishna Services Private Limited,Director,04/03/2012,,Indian,Male,
9117866,Kunal Nair,U10610UP2021PTC100562,Vishwa Impex Private Limited,Nominee Director,15/08/2021,,Indian,Male,
8643419,Alok Saxena,U45201GJ2020PTC100099,Anmol Developers Private Limited,Managing Director,05/01/2021,,Indian,Male,RING-15
9562642,Rajesh Agarwal,U68100HR2018PTC100662,Universal Industries Private Limited,Managing Director,28/10/2018,,Indian,Male,
8751821,Rohit Sharma,U82990MH2020PTC100878,Skyline Retail Private Limited,Director,17/10/2020,,Indian,Male,
8462175,Arun Mishra,U52290TG2014PTC100181,Vardhan Trading Private Limited,Director,06/03/2014,,Indian,Male,
9606122,Sanjay Goyal,U14101RJ2015PTC100177,Vantage Systems Private Limited,Additional Director,09/12/2015,,Indian,Male,
8217709,Amit Bhatia,U74999WB2022PTC100353,Orion Logistics Private Limited,Nominee Director,18/03/2022,,Indian,Male,
9705659,Kiran Pandey,U82990TN2020PTC100479,Bharat Distributors Private Limited,Whole-time Director,20/06/2020,,Indian,Female,
8923941,Ajay Arora,U45201MH2013PLC100719,Capital Services Limited,Managing Director,22/12/2013,,Indian,Male,
8430164,Geeta Jain,U10610HR2021PTC100804,Vertex Developers Private Limited,Nominee Director,13/06/2021,,Indian,Female,
8445052,Yogesh Kapoor,U70200TN2005PTC100263,Golden Logistics Private Limited,Whole-time Director,25/09/2005,,Indian,Male,
9567687,Sarita Joshi,U41001HR2007PTC100610,Nova Retail Private Limited,Director,01/03/2007,,Indian,Female,
9299677,Divya Malhotra,U10610RJ2009PTC100194,Pioneer Constructions Private Limited,Whole-time Director,07/05/2009,,Indian,Female,
8093999,Anil Trivedi,U64990WB2020PLC100937,Vertex Investments Limited,Director,16/04/2020,,Indian,Male,
8947754,Radha Jain,U14101TN2025PTC100974,Zenith Foods Private Limited,Director,30/04/2025,,Indian,Female,
8632241,Vikram Shah,U62011GJ2021PTC100763,Diamond Overseas Private Limited,Director,22/01/2022,,Indian,Male,
8787548,Rekha Pandey,U10610MH2014PTC100234,Royal Traders Private Limited,Director,01/01/2015,,Indian,Female,
9644825,Radha Tiwari,U82990UP2014PTC100218,Vardhan Impex Private Limited,Director,20/03/2014,,Indian,Female,
8116713,Shobha Trivedi,U70200PB2019PTC100374,Vishwa Overseas Private Limited,Whole-time Director,17/03/2019,,Indian,Female,
9779506,Deepak Chopra,U41001WB2026PLC100710,Vaibhav Distributors Limited,Managing Director,17/03/2026,,Indian,Male,
9823418,Shobha Sharma,U74999TN2023PTC100109,Anmol Consultancy Private Limited,Additional Director,27/05/2023,,Indian,Female,RING-16
9420064,Madhuri Malhotra,U74999MH2008PLC100120,Universal Merchants Limited,Director,10/04/2008,,Indian,Female,
9982552,Yogesh Rao,U63990HR2024PTC100881,National Trading Private Limited,Managing Director,20/02/2024,,Indian,Male,
9573728,Anjali Malhotra,U74999MH2013PTC100622,Vantage Logistics Private Limited,Whole-time Director,25/05/2013,,Indian,Female,
8327356,Praveen Malhotra,U68100MH2013PTC100909,Diamond Distributors Private Limited,Independent Director,28/08/2013,,Indian,Male,
8633800,Harish Desai,U10610PB2018PTC100312,Vinayak Impex Private Limited,Whole-time Director,01/09/2018,,Indian,Male,
9027414,Mukesh Kapoor,U82990DL2014PTC100970,Sunrise Foods Private Limited,Nominee Director,27/11/2014,,Indian,Male,
9813499,Manoj Sharma,U70200GJ2006PLC100887,Emerald Ventures Limited,Director,10/07/2006,,Indian,Male,
9542086,Suresh Iyer,U62011MH2016PTC100995,Shakti Overseas Private Limited,Director,26/07/2016,,Indian,Male,
8064719,Meena Goyal,U52290TG2020PTC100708,Global Logistics Private Limited,Director,30/07/2020,,Indian,Female,
9688990,Harish Joshi,U14101DL2021PTC100537,Shakti Consultancy Private Limited,Independent Director,12/03/2021,,Indian,Male,
8373813,Vinod Nair,U64990TN2023PTC100210,Shakti Investments Private Limited,Director,01/09/2023,,Indian,Male,
8156172,Rakesh Patel,U64990WB2010PTC100165,Falcon Enterprises Private Limited,Whole-time Director,19/09/2010,,Indian,Male,
8301510,Rekha Jain,U63990MH2013PTC100401,Radiant Distributors Private Limited,Additional Director,20/06/2013,,Indian,Female,
9091417,Manoj Saxena,U70200PB2023PLC100945,Om Impex Limited,Whole-time Director,26/06/2023,,Indian,Male,
9581741,Naresh Iyer,U64990TG2022PTC100029,Vikram Merchants Private Limited,Director,15/10/2022,,Indian,Male,RING-05
8067262,Alok Shah,U62011TG2016PTC100963,Platinum Trading Private Limited,Managing Director,11/12/2016,,Indian,Male,
9706051,Sachin Pandey,U47190TG2018PTC100075,Nova Investments Private Limited,Additional Director,03/11/2018,,Indian,Male,RING-12
9568280,Pradeep Jain,U82990DL2010PTC100178,Emerald Investments Private Limited,Managing Director,01/01/2011,,Indian,Male,
9654813,Manish Pandey,U14101UP2009PLC100118,Metro Developers Limited,Nominee Director,12/03/2009,,Indian,Male,
9669277,Rajesh Bhatia,U14101WB2015PTC100744,Vardhan Ventures Private Limited,Additional Director,02/08/2015,,Indian,Male,
9776545,Rohit Rao,U82990UP2018PTC100516,Pioneer Impex Private Limited,Nominee Director,12/09/2018,,Indian,Male,
9375706,Sandeep Singh,U46900UP2024PTC100808,Apex Exports Private Limited,Whole-time Director,03/10/2024,,Indian,Male,
9874182,Mahesh Mishra,U10610TG2016PLC100815,Everest Pharma Limited,Managing Director,10/09/2016,,Indian,Male,
9447643,Vinod Joshi,U46310GJ2020PTC100101,Anmol Systems Private Limited,Director,13/01/2021,,Indian,Male,RING-15
8680131,Ravi Mehta,U68100MH2005PTC100637,Metro Chemicals Private Limited,Whole-time Director,27/04/2005,,Indian,Male,
9970843,Suresh Malhotra,U63990TN2005PTC100756,Universal Constructions Private Limited,Managing Director,04/07/2005,,Indian,Male,
8338616,Mahesh Nair,U82990HR2013PTC100843,Global Solutions Private Limited,Director,26/12/2013,,Indian,Male,
9973455,Ritu Kapoor,U41001WB2026PLC100710,Vaibhav Distributors Limited,Managing Director,17/03/2026,,Indian,Female,
8702218,Yogesh Shah,U41001PB2016PLC100340,Rudra Merchants Limited,Whole-time Director,12/02/2016,,Indian,Male,
9049126,Nitin Singh,U64990KA2023PTC100063,Sunrise Pharma Private Limited,Managing Director,16/08/2023,,Indian,Male,RING-10
8392229,Kunal Arora,U10610RJ2024PLC100365,Superior Chemicals Limited,Director,24/06/2024,,Indian,Male,
8291329,Lata Sharma,U47190HR2017PTC100219,Ganesh Finance Private Limited,Nominee Director,27/07/2017,,Indian,Female,
8843680,Rajesh Kumar,U14101TN2020PTC100751,Shree Foods Private Limited,Director,27/01/2021,,Indian,Male,
8709641,Shobha Chauhan,U64990UP2005PTC100294,Vikram Pharma Private Limited,Nominee Director,27/10/2005,,Indian,Female,
8945073,Sandeep Shah,U47190RJ2010PTC100171,Royal Agro Private Limited,Whole-time Director,24/08/2010,,Indian,Male,
9194659,Rakesh Goyal,U63990PB2020PLC100619,Golden Commodities Limited,Director,27/10/2020,,Indian,Male,
8587546,Anil Patel,U68100DL2018PLC100912,Elite Industries Limited,Whole-time Director,25/03/2018,,Indian,Male,
8310261,Harish Reddy,U10610DL2008PTC100241,Continental Agro Private Limited,Nominee Director,19/10/2008,,Indian,Male,
9969078,Geeta Patel,U82990RJ2022PTC100022,Superior Foods Private Limited,Whole-time Director,16/12/2022,,Indian,Female,RING-03
9427768,Suresh Trivedi,U62011UP2007PTC100146,Ganesh Solutions Private Limited,Whole-time Director,14/07/2007,,Indian,Male,
8799882,Amit Pandey,U46310TG2019PTC100169,Vinayak Exports Private Limited,Director,31/05/2019,,Indian,Male,
9669797,Satish Arora,U14101GJ2020PTC100988,Shakti Systems Private Limited,Director,01/03/2020,,Indian,Male,
9062667,Radha Mishra,U14101UP2015PTC100438,Vinayak Systems Private Limited,Nominee Director,28/04/2015,,Indian,Female,
8684240,Kiran Saxena,U70200DL2022PTC100917,Rudra Solutions Private Limited,Additional Director,25/10/2022,,Indian,Female,
9997986,Manish Sharma,U68100HR2011PLC100702,Vishwa Infra Limited,Director,27/01/2012,,Indian,Male,
9213207,Alok Reddy,U46310DL2005PTC100833,Skyline Industries Private Limited,Director,17/12/2005,,Indian,Male,
9664583,Payal Reddy,U46310UP2024PTC100028,Pioneer Commodities Private Limited,Director,18/07/2024,,Indian,Female,RING-04
8362086,Vandana Kumar,U47190RJ2023PLC100083,Capital Solutions Limited,Nominee Director,05/08/2023,,Indian,Female,RING-13
8504743,Ishaan Bansal,U70200MH2017PTC100502,Royal Textiles Private Limited,Additional Director,12/01/2017,,Indian,Male,
8936063,Mahesh Agarwal,U74999HR2013PLC100866,Silver Technologies Limited,Managing Director,04/09/2013,,Indian,Male,
8025845,Sachin Rao,U10610TG2017PTC100690,Superior Infra Private Limited,Managing Director,06/04/2017,,Indian,Male,
8784100,Dinesh Mishra,U63990HR2010PLC100888,Vinayak Ventures Limited,Whole-time Director,26/03/2010,,Indian,Male,
8017539,Manoj Kumar,U10610TG2022PTC100760,Golden Realty Private Limited,Director,15/02/2022,,Indian,Male,
9992569,Kunal Pandey,U46900RJ2010PTC100835,Superior Agro Private Limited,Whole-time Director,27/06/2010,,Indian,Male,
9586047,Neha Trivedi,U82990GJ2024PTC100475,Pioneer Distributors Private Limited,Managing Director,22/06/2024,,Indian,Female,
9277086,Rakesh Bansal,U62011UP2007PTC100146,Ganesh Solutions Private Limited,Whole-time Director,01/08/2007,,Indian,Male,
8196732,Suresh Goyal,U46310RJ2006PLC100914,Pioneer Consultancy Limited,Director,18/02/2006,,Indian,Male,
8251923,Rajesh Saxena,U45201PB2017PTC100429,Metro Pharma Private Limited,Additional Director,25/10/2017,,Indian,Male,
8872271,Mahesh Kumar,U10610WB2019PTC100166,Lakshmi Enterprises Private Limited,Whole-time Director,28/02/2019,,Indian,Male,
9601363,Neha Saxena,U10610HR2023PTC100689,Skyline Exports Private Limited,Nominee Director,26/08/2023,,Indian,Female,
9033249,Vivek Khanna,U52290UP2013PTC100984,Apex Constructions Private Limited,Whole-time Director,16/12/2013,,Indian,Male,
9468702,Pradeep Joshi,U82990PB2008PTC100590,Vikram Finance Private Limited,Director,30/09/2008,,Indian,Male,
8535495,Mahesh Chauhan,U70200KA2015PTC100225,Elite Commodities Private Limited,Managing Director,06/10/2015,,Indian,Male,
9750935,Amit Agarwal,U64990TG2022PTC100029,Vikram Merchants Private Limited,Director,27/10/2022,,Indian,Male,RING-05
9227087,Alok Nair,U46900KA2014PTC100162,Rudra Foods Private Limited,Director,13/05/2014,,Indian,Male,
8484998,Radha Nair,U14101KA2010PTC100761,Silver Enterprises Private Limited,Managing Director,12/06/2010,,Indian,Female,
8352842,Bharat Reddy,U46900MH2024PLC100621,Nova Consultancy Limited,Director,29/01/2025,,Indian,Male,
8296726,Jyoti Desai,U14101KA2024PTC100911,Rudra Systems Private Limited,Independent Director,05/01/2025,,Indian,Female,
9729548,Manish Bansal,U62011KA2015PTC100511,Vishwa Solutions Private Limited,Whole-time Director,26/01/2015,,Indian,Male,
8064719,Meena Goyal,U64990HR2011PTC100135,Vishal Foods Private Limited,Whole-time Director,30/03/2011,,Indian,Female,
8909753,Vivek Nair,U70200TG2022PLC100461,Everest Technologies Limited,Director,12/06/2022,,Indian,Male,
8542449,Sanjay Goyal,U45201MH2009PTC100305,Om Systems Private Limited,Whole-time Director,15/08/2009,,Indian,Male,
8048786,Rakesh Bhatia,U45201GJ2019PTC100283,Vantage Traders Private Limited,Director,25/10/2019,,Indian,Male,
8419160,Vishal Pandey,U14101KA2011PTC100268,Silver Chemicals Private Limited,Director,20/06/2011,,Indian,Male,
9823115,Neha Bhatia,U70200HR2022PTC100412,Vantage Constructions Private Limited,Director,31/10/2022,,Indian,Female,
8504154,Ravi Mishra,U41001GJ2010PTC100960,Emerald Textiles Private Limited,Director,24/07/2010,,Indian,Male,
9598562,Ramesh Chauhan,U62011TG2017PTC100197,Global Ventures Private Limited,Director,28/06/2017,,Indian,Male,
9324498,Gaurav Desai,U14101MH2015PTC100522,Orion Consultancy Private Limited,Managing Director,06/12/2015,,Indian,Male,
8264500,Alok Sharma,U47190PB2010PLC100331,Metro Technologies Limited,Managing Director,02/02/2011,,Indian,Male,
9328116,Praveen Pandey,U46310RJ2015PTC100997,Golden Technologies Private Limited,Director,22/05/2015,,Indian,Male,
8040815,Sanjay Dubey,U45201UP2005PTC100554,Horizon Investments Private Limited,Whole-time Director,16/07/2005,,Indian,Male,
9167583,Mukesh Arora,U41001GJ2020PTC100602,Global Textiles Private Limited,Managing Director,22/05/2020,,Indian,Male,
8793869,Rakesh Iyer,U63990MH2022PTC100875,Royal Investments Private Limited,Director,28/08/2022,,Indian,Male,
8542449,Sanjay Goyal,U41001MH2020PTC100994,Om Infra Private Limited,Managing Director,05/03/2020,,Indian,Male,
